5;"AP";"Appartement"
6;"AT";"Antenne téléphone"
7;"AU";"Autoroute"
8;"CA";"Commerce sans boutique"
9;"CB";"Local divers"
10;"CD";"Dépendance commerciale"
11;"CH";"Chantier"
12;"CM";"Commerce avec boutique"
13;"DC";"Dépendance lieux communs"
14;"DE";"Dépendance bâtie isolée"
15;"LC";"Local commun"
16;"MA";"Maison"
17;"ME";"Maison exceptionnelle"
18;"MP";"Maison partagée par une limite territoriale"
19;"SM";"Sol de maison"
20;"U";"Etablissement industriel"
21;"U1";"Gare"
22;"U2";"Gare : Triage"
23;"U3";"Gare : Atelier matériel"
24;"U4";"Gare : Atelier magasin"
25;"U5";"Gare : Dépôt - Titulaire"
26;"U6";"Gare : Dépôt - Réel"
27;"U7";"Gare : Matériel transport"
28;"U8";"Gare : Entretien matériel roulant"
29;"U9";"Gare : Station usine"
30;"UE";"Transformateur électrique"
31;"UG";"Appareil à gaz"
32;"US";"Etablissement industriel"
